No.	Con_1	Con_2	Con_3	Con_4	Rejects
277	46.75	12.98	8.26	1	2.26
278	51.08	17.03	4.15	1	1.86
279	54.18	16.19	5.30	1	2.14
280	56.57	10.27	9.24	1	3.04
281	44.90	13.63	4.49	1	1.75
282	58.45	11.35	6.14	1	2.67
283	58.89	10.17	4.29	1	2.56
284	50.81	19.78	4.25	1	1.85
285	59.89	13.93	6.53	1	2.91
286	52.31	17.25	6.50	1	2.14
287	47.81	13.57	4.65	1	1.77
288	44.11	14.84	4.79	1	1.78
289	53.36	10.44	3.93	1	1.99
290	57.32	18.29	2.86	1	2.34
291	50.82	10.43	6.37	1	2.04
292	48.93	14.41	0.64	1	1.85
293	46.17	18.30	1.60	1	1.74
294	49.41	16.54	0.55	1	1.88
295	44.69	12.57	8.96	1	2.42
296	46.99	18.05	4.36	1	1.74
297	54.42	12.79	5.66	1	2.20
298	52.43	11.33	8.95	1	2.61
299	59.31	15.73	7.17	1	2.93
300	54.74	12.78	7.72	1	2.53
